,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
2199,a2200,Elevator Action,Quicksilva|Pacific Kougyou|Atari SA|Taito Corporation|Natsume|Micronics|Hamster|Sega,Quicksilva|Taito Corporation|Atari SA|Nidecom Soft|I-Play|Square Enix|Tommo|Hamster|Sega,Amstrad CPC|Arcade Games|Atari 2600|Commodore 64|FM-7|Game Boy|Mobile|MSX|NES|PlayStation 4|SG-1000|Sharp X1|Sinclair ZX81/Spectrum,Action|Arcade,1983,6.2,1983-01-01
2200,a2201,Elex,Piranha Bytes,THQ Nordic,PC|PlayStation 4|Xbox One,Role-Playing,17 Oct 2017,7.5,2017-10-17
2201,a2202,Elf Bowling 1 & 2,Black Lantern Studios,Ignition Entertainment,DS|Game Boy Advance,Bowling|Sports,28 Nov 2005,4.0,2005-11-28
2202,a2203,Eliminator,Psygnosis|Magenta Systems,Psygnosis,PC|PlayStation,Action,28 Feb 1999,6.0,1999-02-28
2203,a2204,Elite Beat Agents,iNiS,Nintendo,DS,Music/Rhythm,6 Nov 2006,8.8,2006-11-06
2204,a2205,Elite: Dangerous,Frontier Developments,Frontier Developments|Sold Out,Macintosh|PC|PlayStation 4|Xbox One,Simulation,16 Dec 2014,7.5,2014-12-16
2205,a2206,Elite Forces: Navy SEALs,Jarhead Games,ValuSoft,PC,3D|Action|Team-Based|First-Person|Shooter,16 Jun 2002,4.9,2002-06-16
2206,a2207,Elite Warriors: Vietnam,Nfusion,Bold Games|Retroism,PC,3D|Action|First-Person|Shooter,25 Mar 2005,6.2,2005-03-25
2207,a2208,Elven Legacy,1C:Ino-Co,CyberFront|Paradox Interactive,PC,Turn-Based|Strategy,7 Apr 2009,6.6,2009-04-07
2208,a2209,Emergency 2: The Ultimate Fight for Life,Sixteen Tons Entertainment,Take-Two Interactive|ak tronic|Arush Entertainment,PC,Adventure|Action,8 Apr 2003,6.5,2003-04-08
2209,a2210,Emergency 2012,Quadriga Games|ValuSoft,Rondomedia|ValuSoft|E-Frontier|Deep Silver,DS|PC,Action,22 Nov 2010,5.5,2010-11-22
2210,a2211,Emergency 3,Sixteen Tons Entertainment,Take-Two Interactive|Sixteen Tons Entertainment|Strategy First,PC,Strategy|Real-Time,6 Apr 2006,7.9,2006-04-06
2211,a2212,Emergency: Fighters for Life,TopWare Interactive,ASCII Entertainment|Frogster Interactive|WizardWorks,PC,Strategy,31 Jul 1998,6.2,1998-07-31
2212,a2213,Emergency Fire Response,Monte Cristo Multimedia,DreamCatcher Interactive,PC,Action|Adventure,30 Jul 2003,7.8,2003-07-30
2213,a2214,Emergency Heroes,Ubisoft Reflections|Ubisoft Barcelona,Ubisoft,Wii,Arcade|Driving/Racing,27 May 2008,5.2,2008-05-27
2214,a2215,Emergency Mayhem,Supersonic Software,Codemasters,Wii,Driving/Racing|Arcade,15 Apr 2008,3.2,2008-04-15
2215,a2216,Emperor: Battle for Dune,Westwood Studios,EA Games|Electronic Arts,PC,Real-Time|Strategy,12 Jun 2001,8.5,2001-06-12
