,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
6086,b6087,Shin Megami Tensei: Strange Journey,Atlus|Lancarse,Atlus,Nintendo 3DS|Nintendo DS,First-Person|Turn-Based|Role-Playing,23 March 2010,8.2,2010-03-23
6087,b6088,Shining Force,Climax Entertainment Sonic! Software Planning|Amusement Vision (Game Boy Advance port),Sega,PC|Sega Mega Drive/Genesis|Wii|Xbox 360,Tactical role-playing,1993,8.3,1993-01-01
6088,b6089,Shining Force CD,Sonic! Software Planning,Sega,Sega CD,Tactical RPG,22 March 1995,8.6,1995-03-22
6089,b6090,Shining Force EXA,Neverland,Sega,PlayStation 2,Action|role-playing,20 March 2007,6.9,2007-03-20
6090,b6091,Shining Force II,Sonic! Software Planning,Sega,PC|PlayStation 3|Sega Mega Drive/Genesis|Wii|Xbox 360,Role-Playing|Tactical,19 October 1994,9.1,1994-10-19
6091,b6092,Shining Force III,Camelot Software Planning,Sega,Sega Saturn,Role-Playing|Tactical,August 1998,8.8,1998-08-01
6092,b6093,Shining Force: Resurrection of the Dark Dragon,Amusement Vision|Climax Entertainment,Sega|Atlus|THQ,Game Boy Advance,Role-Playing,08 June 2004,8.3,2004-06-08
6093,b6094,Shining Force: The Sword of Hajya,Sonic! Software Planning,JP: Sega|NA: Sega of America,Nintendo 3DS,Tactical role-playing,1994,7.2,1994-01-01
6094,b6095,Shining Soul,Nextech|Grasshopper Manufacture,JP: Sega|NA: Atlus|EU: Infogrames,Game Boy Advance,Action|role-playing,16 September 2003,6.0,2003-09-16
6095,b6096,Shining Soul II,Nextech|Grasshopper Manufacture,JP: Sega|NA: Atlus|EU: THQ,Game Boy Advance,Action RPG,24 June 2004,7.0,2004-06-24
6096,b6097,Shining in the Darkness,Climax Entertainment|Sonic! Software Planning,Sega,Sega Mega Drive/Genesis|Xbox 360,Dungeon Crawler RPG,06 August 1991,7.0,1991-08-06
6097,b6098,Shining the Holy Ark,Sonic! Software Planning,Sega,Sega Saturn,Role-Playing,30 June 1997,7.7,1997-06-30
6098,b6099,Shinobi (1987),Sega,Sega,Arcade|NES|Sega Master System|Sega Mega Drive/Genesis|Xbox 360,Platform|Hack and Slash,November 1987,6.7,1987-11-01
6099,b6100,Shinobi (2002),Overworks,Sega,PlayStation 2,Action|Adventure,10 November 2002,6.9,2002-11-10
6100,b6101,Shinobi (2011),Griptonite Games,Sega,Nintendo 3DS,Action|Adventure|Hack and slash,15 November 2011,6.3,2011-11-15
6101,b6102,Shinobi III: Return of the Ninja Master,Sega (AM7)|Megasoft,Sega,Nintendo 3DS|PlayStation 2|Sega Mega Drive/Genesis,Action,22 July 1993,8.3,1993-07-22
6102,b6103,Shinobido 2: Revenge of Zen,Acquire,Namco Bandai Games,PlayStation Vita,Action,22 February 2012,6.0,2012-02-22
6103,b6104,Shipwreck,Brushfire Games,,Linux|PC,Top-Down|Action|Adventure|Hack and Slash|Puzzle,28 February 2014,7.3,2014-02-28
6104,b6105,Shock Troopers,Saurus,SNK,Arcade|Neo Geo|Nintendo Switch|PC,,1997,6.9,1997-01-01
6105,b6106,Shock Troopers: 2nd Squad,,D4 Enterprise,Arcade|Neo Geo|PC,Shooter,1997,8.0,1997-01-01
6106,b6107,Shogun: Total War,The Creative Assembly,Electronic Arts|Sega,PC,Turn-based strategy|real-time tactics,13 June 2000,7.6,2000-06-13
6107,b6108,Shoot Many Robots,Demiurge Studios,Ubisoft,PC|PlayStation 3|Xbox 360,Action|Run and Gun,13 March 2012,7.0,2012-03-13
6108,b6109,Shovel Knight,Yacht Club Games,Yacht Club Games,Linux|Mac|Nintendo 2DS|Nintendo 3DS|Nintendo Switch|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U|Xbox One,Scrolling|Action|Platform,26 June 2014,8.8,2014-06-26
6109,b6110,Shovel Knight: Plague of Shadows,Yacht Club Games,Yacht Club Games,Mac|Nintendo 3DS|Nintendo Switch|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U|Xbox One,Scrolling|Action|Platform,17 September 2015,8.3,2015-09-17
6110,b6111,Shovel Knight: Specter of Torment,Yacht Club Games,Yacht Club Games,Mac|Nintendo 3DS|Nintendo Switch|PC|PlayStation 4|PlayStation Vita|Wii U|Xbox One,Scrolling|Action|Platform,03 March 2017,8.7,2017-03-03
6111,b6112,Shower With Your Dad Simulator 2015,marbenx,marbenx,PC,Simulation,02 September 2015,7.1,2015-09-02
6112,b6113,Showtime!,Myrtilus Entertainment,KISS,PC,Simulation,01 September 2013,4.3,2013-09-01
6113,b6114,Shrek 2,Various,Activision|TDK Mediactive,Game Boy Advance|Nintendo GameCube|PC|PlayStation 2|Xbox,Action|Adventure,18 June 2004,6.1,2004-06-18
6114,b6115,Shrek Forever After,XPEC|Griptonite Games|Gameloft,Activision,PC|PlayStation 3|Xbox 360,Action|Adventure,18 May 2010,7.3,2010-05-18
6115,b6116,Shrek SuperSlam,Shaba Games,Activision,Game Boy Advance|Nintendo GameCube|PC|PlayStation 2,Fighting,25 October 2005,5.6,2005-10-25
6116,b6117,Shrek the Third,7 Studios|Shaba Games,Activision,Game Boy Advance|PC|PlayStation 2|Xbox 360,,14 May 2007,5.0,2007-05-14
6117,b6118,Shrouded in Sanity,Steve Gal,Steve Gal,PC,Action|Adventure,27 May 2016,5.0,2016-05-27
6118,b6119,Shu,Coatsink,Coatsink,PC,Action|Adventure,04 October 2016,7.0,2016-10-04
